EVENT_WOBA,WOBA_CUMU_BAT,WOBA_CUMU_PIT,HAND_MATCH,BAT_HOME_IND,PIT_REST,DAYS_SINCE_SZN_START,IN_DIV,IN_LEAGUE,PITCH_COUNT_CUMU,FIELD_POS,OUTS_CT,ORDER_CT,BATTER_IDX
0,0.4456428571428571,0.665875,0,1,5,18,1,1,39,2,1,1,8
0.883,0.883,0.69,0,1,5,18,1,1,41,9,2,1,9
0.699,0.35715625,0.6909,0,1,5,18,1,1,46,6,2,2,1
0,0.3858125,0.628090909090909,1,1,5,18,1,1,54,4,2,2,2
0.699,0.3495,0.48925,0,0,5,18,1,1,49,3,0,2,3
1.979,1.979,0.6038461538461538,1,0,5,18,1,1,55,5,0,2,4
0.883,0.8055,0.6237857142857143,1,0,5,18,1,1,60,10,0,2,5
0.883,0.47108333333333335,0.6493333333333333,0,1,5,18,1,1,56,8,0,2,3
0.699,0.4417666666666667,0.6531538461538461,0,1,5,18,1,1,62,5,0,2,4
0,0.314,0.6064999999999999,1,1,5,18,1,1,66,10,0,2,5
0,0.29157894736842105,0.5660666666666666,0,1,5,18,1,1,69,3,1,2,6
0.883,0.24907407407407406,0.585875,0,1,5,18,1,1,74,7,2,2,7
0.883,0.26366666666666666,0.29056,1,0,5,19,1,1,3,6,0,1,1
0,0.23299999999999998,0.2793846153846154,1,0,5,19,1,1,9,8,0,1,2
0,0.23299999999999998,0.269037037037037,0,0,5,19,1,1,12,3,1,1,3
0,0.9193333333333333,0.25942857142857145,1,0,5,19,1,1,16,5,2,1,4
0,0.3174722222222222,0,1,1,5,19,1,1,2,6,0,1,1
0.699,0.40549999999999997,0.3495,0,1,5,19,1,1,7,4,1,1,2
0,0.6006875,0.23299999999999998,1,1,5,19,1,1,8,8,1,1,3
0.883,0.4622941176470588,0.39549999999999996,1,1,5,19,1,1,11,5,2,1,4
0.699,0.4204,0.45619999999999994,0,1,5,19,1,1,17,10,2,1,5
0,0.25181818181818183,0.3801666666666666,1,1,5,19,1,1,21,3,2,1,6
0,0.41566666666666663,0.25048275862068964,1,0,5,19,1,1,19,9,0,1,5
0.699,0.49666666666666665,0.26543333333333335,1,0,5,19,1,1,23,7,1,1,6
0,0,0.25687096774193546,1,0,5,19,1,1,26,10,1,1,7
0.883,0.883,0.2764375,0,0,5,19,1,1,28,4,2,1,8
0,0,0.26806060606060605,0,0,5,19,1,1,33,2,2,1,9
0,0.298,0.3258571428571428,0,1,5,19,1,1,22,2,0,1,7
0,0.24746666666666664,0.28512499999999996,1,1,5,19,1,1,28,7,1,1,8
0,0.4742,0.2534444444444444,0,1,5,19,1,1,31,9,2,1,9
0,0.22599999999999998,0.2601764705882353,1,0,5,19,1,1,39,6,0,2,1
0.883,0.3258571428571428,0.27797142857142854,1,0,5,19,1,1,43,8,1,2,2
0,0.1997142857142857,0.27025,0,0,5,19,1,1,49,3,1,2,3
0,0.3088918918918919,0.22809999999999997,1,1,5,19,1,1,34,6,0,2,1
0,0.38619047619047614,0.20736363636363633,0,1,5,19,1,1,37,4,1,2,2
0,0.5653529411764706,0.1900833333333333,1,1,5,19,1,1,43,8,2,2,3
0,0.788,0.26294594594594595,1,0,5,19,1,1,52,5,0,2,4
0,0.35628571428571426,0.25602631578947366,1,0,5,19,1,1,57,9,1,2,5
1.238,0.6025714285714285,0.2812051282051282,1,0,5,19,1,1,60,7,2,2,6
0,0,0.274175,1,0,5,19,1,1,71,10,2,2,7
