k,c,pc,alpha_line
3,HBP,180,-2.97200714353622
3,HBP,181,-2.969261328774079
3,HBP,182,-2.966515514011938
3,HBP,183,-2.9637696992497973
3,HBP,184,-2.9610238844876564
3,HBP,185,-2.9582780697255155
3,HBP,186,-2.9555322549633747
3,HBP,187,-2.9527864402012334
3,HBP,188,-2.950040625439093
3,HBP,189,-2.9472948106769516
3,HBP,190,-2.944548995914811
3,HBP,191,-2.94180318115267
3,HBP,192,-2.939057366390529
3,HBP,193,-2.936311551628388
3,HBP,194,-2.9335657368662473
3,HBP,195,-2.9308199221041065
3,HBP,196,-2.9280741073419656
3,HBP,197,-2.9253282925798247
3,HBP,198,-2.922582477817684
3,HBP,199,-2.919836663055543
3,HBP,200,-2.9170908482934017
4,1B,1,-0.5899793773723077
4,1B,2,-0.5889793773723077
4,1B,3,-0.5879793773723077
4,1B,4,-0.5869793773723077
4,1B,5,-0.5859793773723077
4,1B,6,-0.5849793773723077
4,1B,7,-0.5839793773723077
4,1B,8,-0.58297937737230765
4,1B,9,-0.5819793773723076
4,1B,10,-0.5809793773723076
4,1B,11,-0.5799793773723076
4,1B,12,-0.5789793773723076
4,1B,13,-0.5779793773723076
4,1B,14,-0.5769793773723076
4,1B,15,-0.5759793773723076
4,1B,16,-0.5749793773723076
4,1B,17,-0.5739793773723076
4,1B,18,-0.5729793773723076
4,1B,19,-0.5719793773723076
4,1B,20,-0.5709793773723076
4,1B,21,-0.5699793773723076
4,1B,22,-0.5689793773723076
4,1B,23,-0.5679793773723076
4,1B,24,-0.5669793773723076
4,1B,25,-0.5659793773723076
4,1B,26,-0.5649793773723076
4,1B,27,-0.5639793773723076
4,1B,28,-0.5629793773723076
4,1B,29,-0.5619793773723076
4,1B,30,-0.5609793773723076
4,1B,31,-0.5599793773723076
4,1B,32,-0.5589793773723076
4,1B,33,-0.5579793773723076
4,1B,34,-0.5569793773723076
4,1B,35,-0.5559793773723076
4,1B,36,-0.5549793773723076
4,1B,37,-0.5539793773723076
4,1B,38,-0.5529793773723076
4,1B,39,-0.5519793773723076
4,1B,40,-0.5509793773723076
4,1B,41,-0.5499793773723076
4,1B,42,-0.5489793773723076
4,1B,43,-0.5479793773723076
4,1B,44,-0.5469793773723076
4,1B,45,-0.5459793773723076
4,1B,46,-0.5449793773723076
4,1B,47,-0.5439793773723076
4,1B,48,-0.5429793773723076
4,1B,49,-0.5419793773723076
4,1B,50,-0.5409793773723076
4,1B,51,-0.5399793773723076
4,1B,52,-0.5389793773723076
4,1B,53,-0.5379793773723076
4,1B,54,-0.5369793773723076
4,1B,55,-0.5359793773723076
4,1B,56,-0.5349793773723076
4,1B,57,-0.5339793773723076
4,1B,58,-0.5329793773723076
4,1B,59,-0.5319793773723076
4,1B,60,-0.5309793773723077
4,1B,61,-0.5299793773723076
4,1B,62,-0.5289793773723077
4,1B,63,-0.5279793773723076
4,1B,64,-0.5269793773723077
4,1B,65,-0.5259793773723076
4,1B,66,-0.5249793773723077
4,1B,67,-0.5239793773723076
4,1B,68,-0.5229793773723077
4,1B,69,-0.5219793773723076
4,1B,70,-0.5209793773723077
4,1B,71,-0.5199793773723076
4,1B,72,-0.5189793773723077
4,1B,73,-0.5179793773723077
4,1B,74,-0.5169793773723077
4,1B,75,-0.5159793773723077
4,1B,76,-0.5149793773723077
4,1B,77,-0.5139793773723077
4,1B,78,-0.5129793773723077
4,1B,79,-0.5119793773723077
4,1B,80,-0.5109793773723077
4,1B,81,-0.5099793773723077
4,1B,82,-0.5089793773723077
4,1B,83,-0.5079793773723077
4,1B,84,-0.5069793773723077
4,1B,85,-0.5059793773723077
4,1B,86,-0.5049793773723077
4,1B,87,-0.5039793773723077
4,1B,88,-0.5029793773723077
4,1B,89,-0.5019793773723077
4,1B,90,-0.5009793773723077
4,1B,91,-0.4999793773723077
4,1B,92,-0.4989793773723077
4,1B,93,-0.4979793773723077
4,1B,94,-0.4969793773723077
4,1B,95,-0.4959793773723077
4,1B,96,-0.4949793773723077
4,1B,97,-0.4939793773723077
4,1B,98,-0.4929793773723077
4,1B,99,-0.4919793773723077
4,1B,100,-0.4909793773723077
4,1B,101,-0.4899793773723077
4,1B,102,-0.4889793773723077
4,1B,103,-0.4879793773723077
4,1B,104,-0.4869793773723077
4,1B,105,-0.4859793773723077
4,1B,106,-0.4849793773723077
4,1B,107,-0.4839793773723077
4,1B,108,-0.48297937737230767
4,1B,109,-0.48197937737230767
4,1B,110,-0.48097937737230767
4,1B,111,-0.47997937737230767
4,1B,112,-0.47897937737230767
4,1B,113,-0.47797937737230767
4,1B,114,-0.47697937737230767
4,1B,115,-0.47597937737230767
4,1B,116,-0.47497937737230767
4,1B,117,-0.47397937737230766
4,1B,118,-0.47297937737230766
4,1B,119,-0.47197937737230766
4,1B,120,-0.47097937737230766
4,1B,121,-0.46997937737230766
4,1B,122,-0.46897937737230766
4,1B,123,-0.46797937737230766
4,1B,124,-0.46697937737230766
4,1B,125,-0.46597937737230766
4,1B,126,-0.46497937737230766
4,1B,127,-0.46397937737230766
4,1B,128,-0.46297937737230765
4,1B,129,-0.46197937737230765
4,1B,130,-0.46097937737230765
4,1B,131,-0.45997937737230765
4,1B,132,-0.45897937737230765
4,1B,133,-0.45797937737230765
4,1B,134,-0.45697937737230765
4,1B,135,-0.45597937737230765
4,1B,136,-0.45497937737230765
4,1B,137,-0.45397937737230765
4,1B,138,-0.45297937737230765
4,1B,139,-0.45197937737230764
4,1B,140,-0.45097937737230764
4,1B,141,-0.44997937737230764
4,1B,142,-0.44897937737230764
4,1B,143,-0.44797937737230764
4,1B,144,-0.44697937737230764
4,1B,145,-0.44597937737230764
4,1B,146,-0.44497937737230764
4,1B,147,-0.44397937737230764
4,1B,148,-0.44297937737230764
4,1B,149,-0.44197937737230764
4,1B,150,-0.44097937737230763
4,1B,151,-0.43997937737230763
4,1B,152,-0.43897937737230763
4,1B,153,-0.43797937737230763
4,1B,154,-0.43697937737230763
4,1B,155,-0.43597937737230763
4,1B,156,-0.43497937737230763
4,1B,157,-0.43397937737230763
4,1B,158,-0.43297937737230763
4,1B,159,-0.4319793773723076
4,1B,160,-0.4309793773723076
4,1B,161,-0.4299793773723076
4,1B,162,-0.4289793773723076
4,1B,163,-0.4279793773723076
4,1B,164,-0.4269793773723076
4,1B,165,-0.4259793773723076
4,1B,166,-0.4249793773723076
4,1B,167,-0.4239793773723076
4,1B,168,-0.4229793773723076
4,1B,169,-0.4219793773723076
4,1B,170,-0.4209793773723076
4,1B,171,-0.4199793773723076
4,1B,172,-0.4189793773723076
4,1B,173,-0.4179793773723076
4,1B,174,-0.4169793773723076
4,1B,175,-0.4159793773723076
4,1B,176,-0.41497937737230767
4,1B,177,-0.41397937737230767
4,1B,178,-0.41297937737230767
4,1B,179,-0.41197937737230766
4,1B,180,-0.41097937737230766
